Graph_File,Graph_Type,Vertices,Edges,Space_Complexity,Actual_Max_Flow,Computation_Time_Seconds
Random/random_v105_d80_18.txt,Random,105,8558,O(105+8558),3550,0.024056
Random/random_v106_d48_46.txt,Random,106,5242,O(106+5242),3688,0.005952
Random/random_v110_d76_27.txt,Random,110,8987,O(110+8987),4339,1.118054
Random/random_v120_d67_8.txt,Random,120,9288,O(120+9288),3685,1.695156
Random/random_v122_d31_29.txt,Random,122,4557,O(122+4557),1812,0.016712
Random/random_v123_d42_40.txt,Random,123,6060,O(123+6060),3095,0.843115
Random/random_v125_d77_1.txt,Random,125,11595,O(125+11595),7552,0.038133
Random/random_v126_d51_50.txt,Random,126,7768,O(126+7768),2344,0.030266
Random/random_v136_d62_35.txt,Random,136,11065,O(136+11065),3369,1.761914
Random/random_v136_d67_49.txt,Random,136,11919,O(136+11919),7061,1.676081
Random/random_v137_d55_5.txt,Random,137,10023,O(137+10023),3969,1.520918
Random/random_v138_d73_44.txt,Random,138,13438,O(138+13438),5634,0.062256
Random/random_v142_d78_39.txt,Random,142,15254,O(142+15254),7255,2.274231
Random/random_v143_d45_32.txt,Random,143,8813,O(143+8813),3031,0.021389
Random/random_v143_d60_23.txt,Random,143,11936,O(143+11936),3112,1.676828
Random/random_v147_d58_28.txt,Random,147,12194,O(147+12194),7273,2.125907
Random/random_v17_d44_30.txt,Random,17,107,O(17+107),313,0.000000
Random/random_v17_d60_26.txt,Random,17,149,O(17+149),453,0.004808
Random/random_v17_d71_13.txt,Random,17,170,O(17+170),370,0.000430
Random/random_v22_d45_7.txt,Random,22,181,O(22+181),526,0.003203
Random/random_v23_d70_42.txt,Random,23,318,O(23+318),317,0.007415
Random/random_v27_d44_48.txt,Random,27,302,O(27+302),1056,0.001010
Random/random_v27_d80_3.txt,Random,27,537,O(27+537),1848,0.015744
Random/random_v33_d51_6.txt,Random,33,533,O(33+533),169,0.018028
Random/random_v33_d65_12.txt,Random,33,638,O(33+638),1353,0.030632
Random/random_v34_d59_19.txt,Random,34,626,O(34+626),746,0.000000
Random/random_v36_d41_36.txt,Random,36,503,O(36+503),1033,0.017756
Random/random_v46_d63_11.txt,Random,46,1242,O(46+1242),2816,0.002284
Random/random_v47_d64_41.txt,Random,47,1282,O(47+1282),1290,0.074589
Random/random_v48_d41_15.txt,Random,48,853,O(48+853),1415,0.070102
Random/random_v50_d56_17.txt,Random,50,1311,O(50+1311),1326,0.000000
Random/random_v51_d70_43.txt,Random,51,1721,O(51+1721),1598,0.095317
Random/random_v53_d31_37.txt,Random,53,774,O(53+774),801,0.060074
Random/random_v53_d67_9.txt,Random,53,1773,O(53+1773),2477,0.000000
Random/random_v59_d31_47.txt,Random,59,986,O(59+986),775,0.005022
Random/random_v64_d50_10.txt,Random,64,1890,O(64+1890),1995,0.000000
Random/random_v64_d76_34.txt,Random,64,3007,O(64+3007),2759,0.003933
Random/random_v65_d36_33.txt,Random,65,1449,O(65+1449),1193,0.006123
Random/random_v66_d36_21.txt,Random,66,1544,O(66+1544),2135,0.102460
Random/random_v66_d43_25.txt,Random,66,1777,O(66+1777),1846,0.141571
Random/random_v80_d58_20.txt,Random,80,3556,O(80+3556),3288,0.007462
Random/random_v82_d41_38.txt,Random,82,2654,O(82+2654),2577,0.243711
Random/random_v83_d34_22.txt,Random,83,2263,O(83+2263),418,0.252346
Random/random_v84_d77_45.txt,Random,84,5092,O(84+5092),3699,0.031981
Random/random_v86_d40_16.txt,Random,86,2873,O(86+2873),1918,0.254521
Random/random_v91_d35_24.txt,Random,91,2867,O(91+2867),1721,0.244033
Random/random_v93_d40_14.txt,Random,93,3286,O(93+3286),2899,0.327427
Random/random_v93_d69_2.txt,Random,93,5764,O(93+5764),4868,0.001205
Random/random_v94_d78_31.txt,Random,94,6596,O(94+6596),6476,0.013181
Random/random_v95_d74_4.txt,Random,95,6415,O(95+6415),3244,0.659513
Mesh/mesh_10x15_const_31.txt,Mesh,152,430,O(152+430),80,0.019365
Mesh/mesh_10x7_rand_30.txt,Mesh,72,206,O(72+206),49,0.017727
Mesh/mesh_11x16_const_15.txt,Mesh,178,507,O(178+507),55,0.004013
Mesh/mesh_11x20_rand_33.txt,Mesh,222,631,O(222+631),217,0.156325
Mesh/mesh_11x6_rand_21.txt,Mesh,68,197,O(68+197),291,0.030763
Mesh/mesh_12x13_const_1.txt,Mesh,158,454,O(158+454),84,0.009934
Mesh/mesh_12x18_const_13.txt,Mesh,218,624,O(218+624),36,0.006637
Mesh/mesh_12x18_rand_42.txt,Mesh,218,624,O(218+624),267,0.045120
Mesh/mesh_12x7_const_27.txt,Mesh,86,250,O(86+250),96,0.015215
Mesh/mesh_13x18_const_47.txt,Mesh,236,679,O(236+679),26,0.011154
Mesh/mesh_13x8_const_32.txt,Mesh,106,309,O(106+309),91,0.002397
Mesh/mesh_13x8_rand_4.txt,Mesh,106,309,O(106+309),369,0.012207
Mesh/mesh_14x11_rand_46.txt,Mesh,156,454,O(156+454),397,0.155204
Mesh/mesh_14x4_rand_19.txt,Mesh,58,174,O(58+174),524,0.002017
Mesh/mesh_15x6_const_14.txt,Mesh,92,273,O(92+273),60,0.000000
Mesh/mesh_16x15_rand_38.txt,Mesh,242,706,O(242+706),254,0.380213
Mesh/mesh_16x17_rand_25.txt,Mesh,274,798,O(274+798),370,0.472341
Mesh/mesh_16x4_const_3.txt,Mesh,66,200,O(66+200),16,0.000000
Mesh/mesh_17x4_const_12.txt,Mesh,70,213,O(70+213),170,0.013503
Mesh/mesh_17x4_const_16.txt,Mesh,70,213,O(70+213),170,0.000000
Mesh/mesh_17x5_const_29.txt,Mesh,87,262,O(87+262),136,0.001403
Mesh/mesh_18x13_const_44.txt,Mesh,236,694,O(236+694),36,0.004658
Mesh/mesh_18x16_rand_49.txt,Mesh,290,850,O(290+850),643,0.291258
Mesh/mesh_18x20_rand_6.txt,Mesh,362,1058,O(362+1058),504,0.318389
Mesh/mesh_19x14_rand_40.txt,Mesh,268,789,O(268+789),623,0.154108
Mesh/mesh_19x8_const_18.txt,Mesh,154,459,O(154+459),171,0.000000
Mesh/mesh_20x10_rand_23.txt,Mesh,202,600,O(202+600),484,0.161121
Mesh/mesh_20x13_rand_11.txt,Mesh,262,774,O(262+774),556,0.403313
Mesh/mesh_20x20_rand_36.txt,Mesh,402,1180,O(402+1180),164,0.709970
Mesh/mesh_20x3_rand_50.txt,Mesh,62,194,O(62+194),531,0.015285
Mesh/mesh_20x4_const_2.txt,Mesh,82,252,O(82+252),180,0.012396
Mesh/mesh_20x5_const_22.txt,Mesh,102,310,O(102+310),120,0.002283
Mesh/mesh_20x5_const_34.txt,Mesh,102,310,O(102+310),20,0.000000
Mesh/mesh_3x12_const_5.txt,Mesh,38,87,O(38+87),27,0.004828
Mesh/mesh_3x12_rand_45.txt,Mesh,38,87,O(38+87),22,0.000000
Mesh/mesh_3x13_const_48.txt,Mesh,41,94,O(41+94),15,0.006990
Mesh/mesh_4x11_rand_37.txt,Mesh,46,114,O(46+114),58,0.000000
Mesh/mesh_4x13_const_8.txt,Mesh,54,134,O(54+134),16,0.000000
Mesh/mesh_4x4_rand_39.txt,Mesh,18,44,O(18+44),98,0.001637
Mesh/mesh_6x11_rand_17.txt,Mesh,68,182,O(68+182),112,0.001710
Mesh/mesh_6x12_const_10.txt,Mesh,74,198,O(74+198),54,0.000000
Mesh/mesh_6x13_const_7.txt,Mesh,80,214,O(80+214),18,0.000000
Mesh/mesh_6x15_rand_9.txt,Mesh,92,246,O(92+246),53,0.026154
Mesh/mesh_6x5_rand_35.txt,Mesh,32,86,O(32+86),92,0.000000
Mesh/mesh_6x6_rand_43.txt,Mesh,38,102,O(38+102),131,0.000000
Mesh/mesh_8x10_const_20.txt,Mesh,82,228,O(82+228),40,0.001435
Mesh/mesh_8x15_const_24.txt,Mesh,122,338,O(122+338),72,0.000512
Mesh/mesh_8x15_rand_26.txt,Mesh,122,338,O(122+338),157,0.016628
Mesh/mesh_8x8_const_41.txt,Mesh,66,184,O(66+184),24,0.004085
Mesh/mesh_9x5_rand_28.txt,Mesh,47,134,O(47+134),86,0.011388
Bipartite/bipartite_n10_m92_p0.40_24.txt,Bipartite,104,462,O(104+462),947,0.000000
Bipartite/bipartite_n11_m98_p0.94_33.txt,Bipartite,111,1123,O(111+1123),424,0.000000
Bipartite/bipartite_n12_m62_p0.37_25.txt,Bipartite,76,336,O(76+336),310,0.001006
Bipartite/bipartite_n12_m62_p0.92_35.txt,Bipartite,76,747,O(76+747),703,0.000000
Bipartite/bipartite_n12_m75_p0.54_15.txt,Bipartite,89,584,O(89+584),127,0.000000
Bipartite/bipartite_n13_m18_p0.59_39.txt,Bipartite,33,161,O(33+161),317,0.000000
Bipartite/bipartite_n17_m80_p0.43_37.txt,Bipartite,99,654,O(99+654),458,0.000000
Bipartite/bipartite_n20_m54_p0.57_7.txt,Bipartite,76,686,O(76+686),1999,0.005396
Bipartite/bipartite_n20_m55_p0.96_43.txt,Bipartite,77,1131,O(77+1131),507,0.000000
Bipartite/bipartite_n21_m43_p0.43_11.txt,Bipartite,66,446,O(66+446),1243,0.000000
Bipartite/bipartite_n24_m53_p0.50_5.txt,Bipartite,79,704,O(79+704),793,0.000000
Bipartite/bipartite_n26_m50_p0.79_18.txt,Bipartite,78,1083,O(78+1083),2162,0.005973
Bipartite/bipartite_n27_m45_p0.83_20.txt,Bipartite,74,1073,O(74+1073),1673,0.008524
Bipartite/bipartite_n28_m78_p0.76_12.txt,Bipartite,108,1762,O(108+1762),1116,0.007410
Bipartite/bipartite_n29_m58_p0.43_24.txt,Bipartite,89,841,O(89+841),2642,0.000000
Bipartite/bipartite_n29_m64_p0.66_15.txt,Bipartite,95,1298,O(95+1298),1334,0.006938
Bipartite/bipartite_n30_m74_p0.85_10.txt,Bipartite,106,1997,O(106+1997),1105,0.005901
Bipartite/bipartite_n31_m70_p0.44_8.txt,Bipartite,103,1093,O(103+1093),2563,0.003835
Bipartite/bipartite_n31_m93_p0.80_21.txt,Bipartite,126,2453,O(126+2453),3191,0.016682
Bipartite/bipartite_n32_m80_p0.43_27.txt,Bipartite,114,1229,O(114+1229),1060,0.010596
Bipartite/bipartite_n33_m11_p0.42_1.txt,Bipartite,46,195,O(46+195),894,0.021195
Bipartite/bipartite_n33_m16_p0.78_41.txt,Bipartite,51,467,O(51+467),237,0.060871
Bipartite/bipartite_n33_m86_p0.77_18.txt,Bipartite,121,2294,O(121+2294),350,0.017859
Bipartite/bipartite_n33_m89_p0.41_25.txt,Bipartite,124,1324,O(124+1324),1130,0.000000
Bipartite/bipartite_n34_m71_p0.65_46.txt,Bipartite,107,1675,O(107+1675),1193,0.006038
Bipartite/bipartite_n34_m72_p0.56_23.txt,Bipartite,108,1471,O(108+1471),2646,0.006786
Bipartite/bipartite_n36_m23_p0.93_5.txt,Bipartite,61,842,O(61+842),1123,0.132901
Bipartite/bipartite_n36_m53_p0.78_38.txt,Bipartite,91,1594,O(91+1594),3049,0.000000
Bipartite/bipartite_n36_m91_p0.92_6.txt,Bipartite,129,3181,O(129+3181),2496,0.010867
Bipartite/bipartite_n37_m68_p0.49_7.txt,Bipartite,107,1313,O(107+1313),420,0.007244
Bipartite/bipartite_n37_m92_p0.85_36.txt,Bipartite,131,2982,O(131+2982),2734,0.005081
Bipartite/bipartite_n38_m26_p0.93_26.txt,Bipartite,66,991,O(66+991),1169,0.145445
Bipartite/bipartite_n38_m28_p0.78_40.txt,Bipartite,68,880,O(68+880),787,0.145819
Bipartite/bipartite_n38_m36_p0.59_30.txt,Bipartite,76,909,O(76+909),3399,0.006019
Bipartite/bipartite_n39_m32_p0.67_1.txt,Bipartite,73,879,O(73+879),2408,0.005570
Bipartite/bipartite_n39_m40_p0.56_37.txt,Bipartite,81,951,O(81+951),2657,0.006019
Bipartite/bipartite_n40_m69_p0.93_13.txt,Bipartite,111,2644,O(111+2644),321,0.022020
Bipartite/bipartite_n41_m49_p0.81_36.txt,Bipartite,92,1724,O(92+1724),4067,0.291485
Bipartite/bipartite_n42_m52_p0.78_3.txt,Bipartite,96,1834,O(96+1834),1049,0.016046
Bipartite/bipartite_n43_m41_p0.40_3.txt,Bipartite,86,777,O(86+777),3569,0.094834
Bipartite/bipartite_n44_m64_p0.73_48.txt,Bipartite,110,2163,O(110+2163),3188,0.021281
Bipartite/bipartite_n44_m66_p0.99_50.txt,Bipartite,112,2977,O(112+2977),3720,0.031596
Bipartite/bipartite_n45_m24_p0.88_19.txt,Bipartite,71,1019,O(71+1019),441,0.163567
Bipartite/bipartite_n49_m45_p0.65_17.txt,Bipartite,96,1496,O(96+1496),4592,0.213010
Bipartite/bipartite_n49_m82_p0.87_4.txt,Bipartite,133,3629,O(133+3629),4218,0.021544
Bipartite/bipartite_n51_m96_p0.39_8.txt,Bipartite,149,2138,O(149+2138),1826,0.002007
Bipartite/bipartite_n52_m45_p0.94_14.txt,Bipartite,99,2302,O(99+2302),2316,0.519555
Bipartite/bipartite_n54_m68_p0.76_39.txt,Bipartite,124,2877,O(124+2877),4046,0.000000
Bipartite/bipartite_n54_m99_p0.68_4.txt,Bipartite,155,3779,O(155+3779),2217,0.017405
Bipartite/bipartite_n55_m35_p0.66_49.txt,Bipartite,92,1359,O(92+1359),3524,0.209448
Bipartite/bipartite_n55_m40_p0.65_42.txt,Bipartite,97,1540,O(97+1540),3866,0.344069
Bipartite/bipartite_n55_m79_p0.54_40.txt,Bipartite,136,2507,O(136+2507),2967,0.023940
Bipartite/bipartite_n56_m91_p0.72_44.txt,Bipartite,149,3906,O(149+3906),6023,0.017764
Bipartite/bipartite_n57_m15_p0.84_11.txt,Bipartite,74,787,O(74+787),471,0.130291
Bipartite/bipartite_n58_m32_p0.54_28.txt,Bipartite,92,1058,O(92+1058),538,0.189067
Bipartite/bipartite_n58_m37_p0.96_14.txt,Bipartite,97,2132,O(97+2132),1908,0.535682
Bipartite/bipartite_n58_m60_p0.51_26.txt,Bipartite,120,1883,O(120+1883),3724,0.014593
Bipartite/bipartite_n58_m79_p0.40_22.txt,Bipartite,139,1978,O(139+1978),3576,0.010422
Bipartite/bipartite_n59_m20_p0.66_34.txt,Bipartite,81,856,O(81+856),218,0.132593
Bipartite/bipartite_n60_m47_p0.39_34.txt,Bipartite,109,1186,O(109+1186),1539,0.270955
Bipartite/bipartite_n61_m92_p0.78_41.txt,Bipartite,155,4499,O(155+4499),2291,0.029934
Bipartite/bipartite_n62_m71_p0.60_20.txt,Bipartite,135,2791,O(135+2791),4666,0.016260
Bipartite/bipartite_n64_m34_p0.77_12.txt,Bipartite,100,1777,O(100+1777),2045,0.359466
Bipartite/bipartite_n65_m12_p0.78_29.txt,Bipartite,79,685,O(79+685),894,0.104161
Bipartite/bipartite_n65_m52_p0.99_45.txt,Bipartite,119,3479,O(119+3479),3421,1.115564
Bipartite/bipartite_n67_m91_p0.63_50.txt,Bipartite,160,4073,O(160+4073),6544,0.010175
Bipartite/bipartite_n68_m13_p0.36_16.txt,Bipartite,83,389,O(83+389),414,0.051382
Bipartite/bipartite_n68_m24_p0.56_21.txt,Bipartite,94,997,O(94+997),1124,0.213881
Bipartite/bipartite_n68_m46_p0.79_22.txt,Bipartite,116,2577,O(116+2577),4972,0.749391
Bipartite/bipartite_n68_m86_p0.47_29.txt,Bipartite,156,2915,O(156+2915),4502,0.022011
Bipartite/bipartite_n69_m18_p0.96_17.txt,Bipartite,89,1278,O(89+1278),404,0.319366
Bipartite/bipartite_n69_m74_p0.38_23.txt,Bipartite,145,2086,O(145+2086),2134,0.016057
Bipartite/bipartite_n69_m78_p0.76_46.txt,Bipartite,149,4279,O(149+4279),4313,0.035996
Bipartite/bipartite_n71_m64_p0.44_2.txt,Bipartite,137,2131,O(137+2131),2021,0.561774
Bipartite/bipartite_n72_m60_p0.99_6.txt,Bipartite,134,4402,O(134+4402),5208,1.502399
Bipartite/bipartite_n73_m23_p0.30_38.txt,Bipartite,98,595,O(98+595),2456,0.104861
Bipartite/bipartite_n77_m75_p0.84_47.txt,Bipartite,154,4992,O(154+4992),815,1.533419
Bipartite/bipartite_n78_m99_p0.41_32.txt,Bipartite,179,3292,O(179+3292),7895,0.025804
Bipartite/bipartite_n80_m48_p0.56_30.txt,Bipartite,130,2280,O(130+2280),2904,0.569265
Bipartite/bipartite_n81_m15_p0.31_33.txt,Bipartite,98,474,O(98+474),282,0.096244
Bipartite/bipartite_n81_m52_p0.71_31.txt,Bipartite,135,3163,O(135+3163),619,1.088993
Bipartite/bipartite_n83_m74_p0.53_44.txt,Bipartite,159,3434,O(159+3434),4204,0.935319
Bipartite/bipartite_n84_m84_p0.97_28.txt,Bipartite,170,6970,O(170+6970),7042,0.071950
Bipartite/bipartite_n85_m12_p0.71_48.txt,Bipartite,99,797,O(99+797),1086,0.185356
Bipartite/bipartite_n86_m48_p0.46_27.txt,Bipartite,136,2051,O(136+2051),4752,0.608224
Bipartite/bipartite_n86_m92_p0.54_42.txt,Bipartite,180,4494,O(180+4494),9049,0.042598
Bipartite/bipartite_n86_m94_p0.75_13.txt,Bipartite,182,6260,O(182+6260),1089,0.044949
Bipartite/bipartite_n87_m77_p0.69_9.txt,Bipartite,166,4820,O(166+4820),1608,1.780266
Bipartite/bipartite_n87_m86_p0.97_43.txt,Bipartite,175,7457,O(175+7457),5357,0.155266
Bipartite/bipartite_n88_m36_p0.97_31.txt,Bipartite,126,3202,O(126+3202),3180,1.560418
Bipartite/bipartite_n90_m24_p0.99_19.txt,Bipartite,116,2242,O(116+2242),1809,1.085458
Bipartite/bipartite_n90_m28_p0.39_47.txt,Bipartite,120,1115,O(120+1115),2600,0.847166
Bipartite/bipartite_n90_m60_p0.98_32.txt,Bipartite,152,5425,O(152+5425),2672,2.766527
Bipartite/bipartite_n90_m67_p0.38_35.txt,Bipartite,159,2469,O(159+2469),6040,0.705279
Bipartite/bipartite_n91_m38_p0.37_9.txt,Bipartite,131,1458,O(131+1458),1979,0.386660
Bipartite/bipartite_n91_m40_p0.36_10.txt,Bipartite,133,1418,O(133+1418),481,0.455009
Bipartite/bipartite_n93_m40_p0.75_16.txt,Bipartite,135,2918,O(135+2918),2817,0.901345
Bipartite/bipartite_n93_m51_p0.85_49.txt,Bipartite,146,4207,O(146+4207),884,1.850057
Bipartite/bipartite_n96_m72_p0.73_2.txt,Bipartite,170,5152,O(170+5152),5048,2.263433
Bipartite/bipartite_n96_m94_p0.65_45.txt,Bipartite,192,5964,O(192+5964),3428,1.565773
FixedDegree/fixed_v104_deg6_48.txt,FixedDegree,106,636,O(106+636),482,0.000000
FixedDegree/fixed_v106_deg10_21.txt,FixedDegree,108,1080,O(108+1080),436,0.273267
FixedDegree/fixed_v109_deg3_40.txt,FixedDegree,111,333,O(111+333),46,0.101028
FixedDegree/fixed_v117_deg8_44.txt,FixedDegree,119,952,O(119+952),922,0.006260
FixedDegree/fixed_v118_deg5_47.txt,FixedDegree,120,600,O(120+600),547,0.149711
FixedDegree/fixed_v118_deg9_17.txt,FixedDegree,120,1080,O(120+1080),771,0.253624
FixedDegree/fixed_v125_deg5_24.txt,FixedDegree,127,635,O(127+635),715,0.195477
FixedDegree/fixed_v126_deg7_2.txt,FixedDegree,128,896,O(128+896),390,0.007465
FixedDegree/fixed_v136_deg3_23.txt,FixedDegree,138,414,O(138+414),134,0.009302
FixedDegree/fixed_v141_deg5_16.txt,FixedDegree,143,715,O(143+715),645,0.000000
FixedDegree/fixed_v152_deg3_7.txt,FixedDegree,154,462,O(154+462),237,0.227674
FixedDegree/fixed_v153_deg8_14.txt,FixedDegree,155,1240,O(155+1240),326,0.000000
FixedDegree/fixed_v158_deg8_31.txt,FixedDegree,160,1280,O(160+1280),179,0.414096
FixedDegree/fixed_v167_deg9_26.txt,FixedDegree,169,1521,O(169+1521),430,0.000000
FixedDegree/fixed_v169_deg9_30.txt,FixedDegree,171,1539,O(171+1539),779,0.007679
FixedDegree/fixed_v169_deg9_4.txt,FixedDegree,171,1539,O(171+1539),549,0.008241
FixedDegree/fixed_v172_deg3_29.txt,FixedDegree,174,522,O(174+522),90,0.278011
FixedDegree/fixed_v174_deg10_36.txt,FixedDegree,176,1760,O(176+1760),538,0.602900
FixedDegree/fixed_v181_deg8_33.txt,FixedDegree,183,1464,O(183+1464),687,0.612017
FixedDegree/fixed_v182_deg8_37.txt,FixedDegree,184,1472,O(184+1472),150,0.547819
FixedDegree/fixed_v185_deg8_45.txt,FixedDegree,187,1496,O(187+1496),666,0.006012
FixedDegree/fixed_v186_deg4_15.txt,FixedDegree,188,752,O(188+752),250,0.006808
FixedDegree/fixed_v188_deg8_50.txt,FixedDegree,190,1520,O(190+1520),1192,0.013464
FixedDegree/fixed_v190_deg10_46.txt,FixedDegree,192,1920,O(192+1920),1129,0.680629
FixedDegree/fixed_v192_deg4_42.txt,FixedDegree,194,776,O(194+776),618,0.369297
FixedDegree/fixed_v195_deg5_22.txt,FixedDegree,197,985,O(197+985),342,0.009611
FixedDegree/fixed_v195_deg5_6.txt,FixedDegree,197,985,O(197+985),245,0.451646
FixedDegree/fixed_v198_deg9_13.txt,FixedDegree,200,1800,O(200+1800),600,0.599358
FixedDegree/fixed_v200_deg3_20.txt,FixedDegree,202,606,O(202+606),147,0.000000
FixedDegree/fixed_v21_deg4_11.txt,FixedDegree,23,92,O(23+92),140,0.013468
FixedDegree/fixed_v21_deg7_43.txt,FixedDegree,23,161,O(23+161),328,0.001073
FixedDegree/fixed_v21_deg7_49.txt,FixedDegree,23,161,O(23+161),948,0.000734
FixedDegree/fixed_v22_deg3_38.txt,FixedDegree,24,72,O(24+72),264,0.000000
FixedDegree/fixed_v30_deg6_9.txt,FixedDegree,32,192,O(32+192),401,0.014549
FixedDegree/fixed_v57_deg9_28.txt,FixedDegree,59,531,O(59+531),417,0.095625
FixedDegree/fixed_v58_deg6_34.txt,FixedDegree,60,360,O(60+360),654,0.006173
FixedDegree/fixed_v58_deg9_41.txt,FixedDegree,60,540,O(60+540),203,0.008233
FixedDegree/fixed_v60_deg10_32.txt,FixedDegree,62,620,O(62+620),1238,0.081450
FixedDegree/fixed_v60_deg4_1.txt,FixedDegree,62,248,O(62+248),440,0.000000
FixedDegree/fixed_v63_deg10_8.txt,FixedDegree,65,650,O(65+650),661,0.007046
FixedDegree/fixed_v76_deg7_18.txt,FixedDegree,78,546,O(78+546),317,0.090407
FixedDegree/fixed_v78_deg3_19.txt,FixedDegree,80,240,O(80+240),344,0.004186
FixedDegree/fixed_v78_deg6_27.txt,FixedDegree,80,480,O(80+480),106,0.000000
FixedDegree/fixed_v80_deg3_25.txt,FixedDegree,82,246,O(82+246),248,0.053259
FixedDegree/fixed_v80_deg7_39.txt,FixedDegree,82,574,O(82+574),430,0.000000
FixedDegree/fixed_v83_deg9_3.txt,FixedDegree,85,765,O(85+765),674,0.000000
FixedDegree/fixed_v89_deg4_10.txt,FixedDegree,91,364,O(91+364),110,0.002184
FixedDegree/fixed_v91_deg8_12.txt,FixedDegree,93,744,O(93+744),1010,0.157847
FixedDegree/fixed_v92_deg3_35.txt,FixedDegree,94,282,O(94+282),96,0.080974
FixedDegree/fixed_v94_deg7_5.txt,FixedDegree,96,672,O(96+672),772,0.231372
